Date,Hour,LocationName,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount
05/05/2014,7,Commercial Street at Lush,Monday,2014,2,May,19,71
05/05/2014,7,Commercial Street at Barratts,Monday,2014,2,May,19,188
05/05/2014,7,Headrow,Monday,2014,2,May,19,80
05/05/2014,7,Dortmund Square ,Monday,2014,2,May,19,296
05/05/2014,7,Albion Street South,Monday,2014,2,May,19,59
05/05/2014,7,Albion Street North,Monday,2014,2,May,19,41
05/05/2014,8,Briggate,Monday,2014,2,May,19,291
05/05/2014,8,Briggate at McDonalds ,Monday,2014,2,May,19,153
05/05/2014,8,Commercial Street at Lush,Monday,2014,2,May,19,175
05/05/2014,8,Commercial Street at Barratts,Monday,2014,2,May,19,378
05/05/2014,8,Headrow,Monday,2014,2,May,19,268
05/05/2014,8,Dortmund Square ,Monday,2014,2,May,19,839
05/05/2014,8,Albion Street South,Monday,2014,2,May,19,80
05/05/2014,8,Albion Street North,Monday,2014,2,May,19,68
05/05/2014,9,Briggate,Monday,2014,2,May,19,594
05/05/2014,9,Briggate at McDonalds ,Monday,2014,2,May,19,292
05/05/2014,9,Commercial Street at Lush,Monday,2014,2,May,19,309
05/05/2014,9,Commercial Street at Barratts,Monday,2014,2,May,19,420
05/05/2014,9,Headrow,Monday,2014,2,May,19,345
05/05/2014,9,Dortmund Square ,Monday,2014,2,May,19,1011
05/05/2014,9,Albion Street South,Monday,2014,2,May,19,214
05/05/2014,9,Albion Street North,Monday,2014,2,May,19,150
05/05/2014,10,Briggate,Monday,2014,2,May,19,1518
05/05/2014,10,Briggate at McDonalds ,Monday,2014,2,May,19,674
05/05/2014,10,Commercial Street at Lush,Monday,2014,2,May,19,772
05/05/2014,10,Commercial Street at Barratts,Monday,2014,2,May,19,632
05/05/2014,10,Headrow,Monday,2014,2,May,19,456
05/05/2014,10,Dortmund Square ,Monday,2014,2,May,19,1273
05/05/2014,10,Albion Street South,Monday,2014,2,May,19,744
05/05/2014,10,Albion Street North,Monday,2014,2,May,19,574
05/05/2014,11,Briggate,Monday,2014,2,May,19,3278
05/05/2014,11,Briggate at McDonalds ,Monday,2014,2,May,19,1165
05/05/2014,11,Commercial Street at Lush,Monday,2014,2,May,19,1305
05/05/2014,11,Commercial Street at Barratts,Monday,2014,2,May,19,911
05/05/2014,11,Headrow,Monday,2014,2,May,19,657
05/05/2014,11,Dortmund Square ,Monday,2014,2,May,19,1749
05/05/2014,11,Albion Street South,Monday,2014,2,May,19,1872
05/05/2014,11,Albion Street North,Monday,2014,2,May,19,1290
05/05/2014,12,Briggate,Monday,2014,2,May,19,4408
05/05/2014,12,Briggate at McDonalds ,Monday,2014,2,May,19,1574
05/05/2014,12,Commercial Street at Lush,Monday,2014,2,May,19,2198
05/05/2014,12,Commercial Street at Barratts,Monday,2014,2,May,19,1543
05/05/2014,12,Headrow,Monday,2014,2,May,19,1139
05/05/2014,12,Dortmund Square ,Monday,2014,2,May,19,2769
05/05/2014,12,Albion Street South,Monday,2014,2,May,19,2579
05/05/2014,12,Albion Street North,Monday,2014,2,May,19,1710
05/05/2014,13,Briggate,Monday,2014,2,May,19,4871
05/05/2014,13,Briggate at McDonalds ,Monday,2014,2,May,19,1866
05/05/2014,13,Commercial Street at Lush,Monday,2014,2,May,19,2679
05/05/2014,13,Commercial Street at Barratts,Monday,2014,2,May,19,1454
05/05/2014,13,Headrow,Monday,2014,2,May,19,1158
05/05/2014,13,Dortmund Square ,Monday,2014,2,May,19,2628
05/05/2014,13,Albion Street South,Monday,2014,2,May,19,2665
05/05/2014,13,Albion Street North,Monday,2014,2,May,19,1820
05/05/2014,14,Briggate,Monday,2014,2,May,19,4729
05/05/2014,14,Briggate at McDonalds ,Monday,2014,2,May,19,1835
05/05/2014,14,Commercial Street at Lush,Monday,2014,2,May,19,3007
05/05/2014,14,Commercial Street at Barratts,Monday,2014,2,May,19,1105
05/05/2014,14,Headrow,Monday,2014,2,May,19,926
05/05/2014,14,Dortmund Square ,Monday,2014,2,May,19,2379
05/05/2014,14,Albion Street South,Monday,2014,2,May,19,2384
05/05/2014,14,Albion Street North,Monday,2014,2,May,19,1790
05/05/2014,15,Briggate,Monday,2014,2,May,19,4329
05/05/2014,15,Briggate at McDonalds ,Monday,2014,2,May,19,1901
05/05/2014,15,Commercial Street at Lush,Monday,2014,2,May,19,3235
05/05/2014,15,Commercial Street at Barratts,Monday,2014,2,May,19,840
05/05/2014,15,Headrow,Monday,2014,2,May,19,855
05/05/2014,15,Dortmund Square ,Monday,2014,2,May,19,2501
05/05/2014,15,Albion Street South,Monday,2014,2,May,19,1759
05/05/2014,15,Albion Street North,Monday,2014,2,May,19,1564
05/05/2014,16,Briggate,Monday,2014,2,May,19,3358
05/05/2014,16,Briggate at McDonalds ,Monday,2014,2,May,19,1387
05/05/2014,16,Commercial Street at Lush,Monday,2014,2,May,19,2018
05/05/2014,16,Commercial Street at Barratts,Monday,2014,2,May,19,970
05/05/2014,16,Headrow,Monday,2014,2,May,19,848
05/05/2014,16,Dortmund Square ,Monday,2014,2,May,19,2239
05/05/2014,16,Albion Street South,Monday,2014,2,May,19,1384
05/05/2014,16,Albion Street North,Monday,2014,2,May,19,947
05/05/2014,17,Briggate,Monday,2014,2,May,19,2060
05/05/2014,17,Briggate at McDonalds ,Monday,2014,2,May,19,955
05/05/2014,17,Commercial Street at Lush,Monday,2014,2,May,19,994
05/05/2014,17,Commercial Street at Barratts,Monday,2014,2,May,19,839
05/05/2014,17,Headrow,Monday,2014,2,May,19,655
05/05/2014,17,Dortmund Square ,Monday,2014,2,May,19,1633
05/05/2014,17,Albion Street South,Monday,2014,2,May,19,1059
05/05/2014,17,Albion Street North,Monday,2014,2,May,19,811
05/05/2014,18,Briggate,Monday,2014,2,May,19,879
05/05/2014,18,Briggate at McDonalds ,Monday,2014,2,May,19,513
05/05/2014,18,Commercial Street at Lush,Monday,2014,2,May,19,388
05/05/2014,18,Commercial Street at Barratts,Monday,2014,2,May,19,428
05/05/2014,18,Headrow,Monday,2014,2,May,19,383
05/05/2014,18,Dortmund Square ,Monday,2014,2,May,19,901
05/05/2014,18,Albion Street South,Monday,2014,2,May,19,593
05/05/2014,18,Albion Street North,Monday,2014,2,May,19,447
05/05/2014,19,Briggate,Monday,2014,2,May,19,395
05/05/2014,19,Briggate at McDonalds ,Monday,2014,2,May,19,247
05/05/2014,19,Commercial Street at Lush,Monday,2014,2,May,19,127
05/05/2014,19,Commercial Street at Barratts,Monday,2014,2,May,19,189
05/05/2014,19,Headrow,Monday,2014,2,May,19,203
05/05/2014,19,Dortmund Square ,Monday,2014,2,May,19,470
05/05/2014,19,Albion Street South,Monday,2014,2,May,19,265
05/05/2014,19,Albion Street North,Monday,2014,2,May,19,230
05/05/2014,20,Briggate,Monday,2014,2,May,19,240
05/05/2014,20,Briggate at McDonalds ,Monday,2014,2,May,19,171
05/05/2014,20,Commercial Street at Lush,Monday,2014,2,May,19,86
05/05/2014,20,Commercial Street at Barratts,Monday,2014,2,May,19,124
05/05/2014,20,Headrow,Monday,2014,2,May,19,109
05/05/2014,20,Dortmund Square ,Monday,2014,2,May,19,322
05/05/2014,20,Albion Street South,Monday,2014,2,May,19,120
05/05/2014,20,Albion Street North,Monday,2014,2,May,19,89
05/05/2014,21,Briggate,Monday,2014,2,May,19,163
05/05/2014,21,Briggate at McDonalds ,Monday,2014,2,May,19,96
05/05/2014,21,Commercial Street at Lush,Monday,2014,2,May,19,54
05/05/2014,21,Commercial Street at Barratts,Monday,2014,2,May,19,111
05/05/2014,21,Headrow,Monday,2014,2,May,19,80
05/05/2014,21,Dortmund Square ,Monday,2014,2,May,19,190
05/05/2014,21,Albion Street South,Monday,2014,2,May,19,129
05/05/2014,21,Albion Street North,Monday,2014,2,May,19,48
05/05/2014,22,Briggate,Monday,2014,2,May,19,149
05/05/2014,22,Briggate at McDonalds ,Monday,2014,2,May,19,77
05/05/2014,22,Commercial Street at Lush,Monday,2014,2,May,19,57
05/05/2014,22,Commercial Street at Barratts,Monday,2014,2,May,19,78
05/05/2014,22,Headrow,Monday,2014,2,May,19,59
05/05/2014,22,Dortmund Square ,Monday,2014,2,May,19,164
05/05/2014,22,Albion Street South,Monday,2014,2,May,19,116
05/05/2014,22,Albion Street North,Monday,2014,2,May,19,33
05/05/2014,23,Briggate,Monday,2014,2,May,19,133
05/05/2014,23,Briggate at McDonalds ,Monday,2014,2,May,19,68
05/05/2014,23,Commercial Street at Lush,Monday,2014,2,May,19,50
05/05/2014,23,Commercial Street at Barratts,Monday,2014,2,May,19,37
05/05/2014,23,Headrow,Monday,2014,2,May,19,43
05/05/2014,23,Dortmund Square ,Monday,2014,2,May,19,89
05/05/2014,23,Albion Street South,Monday,2014,2,May,19,128
05/05/2014,23,Albion Street North,Monday,2014,2,May,19,57
06/05/2014,0,Briggate,Tuesday,2014,2,May,19,58
06/05/2014,0,Briggate at McDonalds ,Tuesday,2014,2,May,19,51
06/05/2014,0,Commercial Street at Lush,Tuesday,2014,2,May,19,26
06/05/2014,0,Commercial Street at Barratts,Tuesday,2014,2,May,19,24
06/05/2014,0,Headrow,Tuesday,2014,2,May,19,19
06/05/2014,0,Dortmund Square ,Tuesday,2014,2,May,19,33
06/05/2014,0,Albion Street South,Tuesday,2014,2,May,19,38
06/05/2014,0,Albion Street North,Tuesday,2014,2,May,19,31
06/05/2014,1,Briggate,Tuesday,2014,2,May,19,80
06/05/2014,1,Briggate at McDonalds ,Tuesday,2014,2,May,19,41
06/05/2014,1,Commercial Street at Lush,Tuesday,2014,2,May,19,17
06/05/2014,1,Commercial Street at Barratts,Tuesday,2014,2,May,19,18
06/05/2014,1,Headrow,Tuesday,2014,2,May,19,10
06/05/2014,1,Dortmund Square ,Tuesday,2014,2,May,19,0
06/05/2014,1,Albion Street South,Tuesday,2014,2,May,19,9
06/05/2014,1,Albion Street North,Tuesday,2014,2,May,19,2
06/05/2014,2,Briggate,Tuesday,2014,2,May,19,62
06/05/2014,2,Briggate at McDonalds ,Tuesday,2014,2,May,19,46
06/05/2014,2,Commercial Street at Lush,Tuesday,2014,2,May,19,9
06/05/2014,2,Commercial Street at Barratts,Tuesday,2014,2,May,19,22
06/05/2014,2,Headrow,Tuesday,2014,2,May,19,5
06/05/2014,2,Dortmund Square ,Tuesday,2014,2,May,19,0
06/05/2014,2,Albion Street South,Tuesday,2014,2,May,19,9
06/05/2014,2,Albion Street North,Tuesday,2014,2,May,19,5
06/05/2014,3,Briggate,Tuesday,2014,2,May,19,25
06/05/2014,3,Briggate at McDonalds ,Tuesday,2014,2,May,19,32
06/05/2014,3,Commercial Street at Lush,Tuesday,2014,2,May,19,29
06/05/2014,3,Commercial Street at Barratts,Tuesday,2014,2,May,19,22
06/05/2014,3,Headrow,Tuesday,2014,2,May,19,0
06/05/2014,3,Dortmund Square ,Tuesday,2014,2,May,19,0
06/05/2014,3,Albion Street South,Tuesday,2014,2,May,19,28
06/05/2014,3,Albion Street North,Tuesday,2014,2,May,19,5
06/05/2014,4,Briggate,Tuesday,2014,2,May,19,25
06/05/2014,4,Briggate at McDonalds ,Tuesday,2014,2,May,19,23
06/05/2014,4,Commercial Street at Lush,Tuesday,2014,2,May,19,3
06/05/2014,4,Commercial Street at Barratts,Tuesday,2014,2,May,19,16
06/05/2014,4,Headrow,Tuesday,2014,2,May,19,0
06/05/2014,4,Dortmund Square ,Tuesday,2014,2,May,19,0
06/05/2014,4,Albion Street South,Tuesday,2014,2,May,19,1
06/05/2014,4,Albion Street North,Tuesday,2014,2,May,19,1
06/05/2014,5,Briggate,Tuesday,2014,2,May,19,81
06/05/2014,5,Briggate at McDonalds ,Tuesday,2014,2,May,19,50
06/05/2014,5,Commercial Street at Lush,Tuesday,2014,2,May,19,42
06/05/2014,5,Commercial Street at Barratts,Tuesday,2014,2,May,19,37
06/05/2014,5,Headrow,Tuesday,2014,2,May,19,8
06/05/2014,5,Dortmund Square ,Tuesday,2014,2,May,19,0
06/05/2014,5,Albion Street South,Tuesday,2014,2,May,19,32
06/05/2014,5,Albion Street North,Tuesday,2014,2,May,19,20
06/05/2014,6,Briggate,Tuesday,2014,2,May,19,224
06/05/2014,6,Briggate at McDonalds ,Tuesday,2014,2,May,19,104
06/05/2014,6,Commercial Street at Lush,Tuesday,2014,2,May,19,97
06/05/2014,6,Commercial Street at Barratts,Tuesday,2014,2,May,19,116
06/05/2014,6,Headrow,Tuesday,2014,2,May,19,46
06/05/2014,6,Dortmund Square ,Tuesday,2014,2,May,19,56
06/05/2014,6,Albion Street South,Tuesday,2014,2,May,19,120
06/05/2014,6,Albion Street North,Tuesday,2014,2,May,19,61
06/05/2014,7,Briggate,Tuesday,2014,2,May,19,395
06/05/2014,7,Briggate at McDonalds ,Tuesday,2014,2,May,19,0
06/05/2014,7,Commercial Street at Lush,Tuesday,2014,2,May,19,225
06/05/2014,7,Commercial Street at Barratts,Tuesday,2014,2,May,19,356
06/05/2014,7,Headrow,Tuesday,2014,2,May,19,127
06/05/2014,7,Dortmund Square ,Tuesday,2014,2,May,19,295
06/05/2014,7,Albion Street South,Tuesday,2014,2,May,19,397
06/05/2014,7,Albion Street North,Tuesday,2014,2,May,19,320
06/05/2014,8,Briggate,Tuesday,2014,2,May,19,891
06/05/2014,8,Briggate at McDonalds ,Tuesday,2014,2,May,19,561
06/05/2014,8,Commercial Street at Lush,Tuesday,2014,2,May,19,823
06/05/2014,8,Commercial Street at Barratts,Tuesday,2014,2,May,19,836
06/05/2014,8,Headrow,Tuesday,2014,2,May,19,416
06/05/2014,8,Dortmund Square ,Tuesday,2014,2,May,19,1090
06/05/2014,8,Albion Street South,Tuesday,2014,2,May,19,630
06/05/2014,8,Albion Street North,Tuesday,2014,2,May,19,583
06/05/2014,9,Briggate,Tuesday,2014,2,May,19,996
06/05/2014,9,Briggate at McDonalds ,Tuesday,2014,2,May,19,585
06/05/2014,9,Commercial Street at Lush,Tuesday,2014,2,May,19,979
06/05/2014,9,Commercial Street at Barratts,Tuesday,2014,2,May,19,793
06/05/2014,9,Headrow,Tuesday,2014,2,May,19,506
06/05/2014,9,Dortmund Square ,Tuesday,2014,2,May,19,1053
06/05/2014,9,Albion Street South,Tuesday,2014,2,May,19,693
06/05/2014,9,Albion Street North,Tuesday,2014,2,May,19,460
06/05/2014,10,Briggate,Tuesday,2014,2,May,19,1918
06/05/2014,10,Briggate at McDonalds ,Tuesday,2014,2,May,19,719
06/05/2014,10,Commercial Street at Lush,Tuesday,2014,2,May,19,1091
06/05/2014,10,Commercial Street at Barratts,Tuesday,2014,2,May,19,1016
06/05/2014,10,Headrow,Tuesday,2014,2,May,19,664
06/05/2014,10,Dortmund Square ,Tuesday,2014,2,May,19,1626
06/05/2014,10,Albion Street South,Tuesday,2014,2,May,19,1059
06/05/2014,10,Albion Street North,Tuesday,2014,2,May,19,869
06/05/2014,11,Briggate,Tuesday,2014,2,May,19,2503
06/05/2014,11,Briggate at McDonalds ,Tuesday,2014,2,May,19,948
06/05/2014,11,Commercial Street at Lush,Tuesday,2014,2,May,19,1581
06/05/2014,11,Commercial Street at Barratts,Tuesday,2014,2,May,19,1451
06/05/2014,11,Headrow,Tuesday,2014,2,May,19,938
06/05/2014,11,Dortmund Square ,Tuesday,2014,2,May,19,2407
06/05/2014,11,Albion Street South,Tuesday,2014,2,May,19,1666
06/05/2014,11,Albion Street North,Tuesday,2014,2,May,19,1453
06/05/2014,12,Briggate,Tuesday,2014,2,May,19,3969
06/05/2014,12,Briggate at McDonalds ,Tuesday,2014,2,May,19,1714
06/05/2014,12,Commercial Street at Lush,Tuesday,2014,2,May,19,3494
06/05/2014,12,Commercial Street at Barratts,Tuesday,2014,2,May,19,2599
06/05/2014,12,Headrow,Tuesday,2014,2,May,19,1512
06/05/2014,12,Dortmund Square ,Tuesday,2014,2,May,19,3735
06/05/2014,12,Albion Street South,Tuesday,2014,2,May,19,3357
06/05/2014,12,Albion Street North,Tuesday,2014,2,May,19,2524
06/05/2014,13,Briggate,Tuesday,2014,2,May,19,3949
06/05/2014,13,Briggate at McDonalds ,Tuesday,2014,2,May,19,1707
06/05/2014,13,Commercial Street at Lush,Tuesday,2014,2,May,19,3566
06/05/2014,13,Commercial Street at Barratts,Tuesday,2014,2,May,19,2547
06/05/2014,13,Headrow,Tuesday,2014,2,May,19,1590
06/05/2014,13,Dortmund Square ,Tuesday,2014,2,May,19,4297
06/05/2014,13,Albion Street South,Tuesday,2014,2,May,19,3374
06/05/2014,13,Albion Street North,Tuesday,2014,2,May,19,2381
06/05/2014,14,Briggate,Tuesday,2014,2,May,19,2973
06/05/2014,14,Briggate at McDonalds ,Tuesday,2014,2,May,19,1519
06/05/2014,14,Commercial Street at Lush,Tuesday,2014,2,May,19,2549
06/05/2014,14,Commercial Street at Barratts,Tuesday,2014,2,May,19,1868
06/05/2014,14,Headrow,Tuesday,2014,2,May,19,1268
06/05/2014,14,Dortmund Square ,Tuesday,2014,2,May,19,4062
06/05/2014,14,Albion Street South,Tuesday,2014,2,May,19,1476
06/05/2014,14,Albion Street North,Tuesday,2014,2,May,19,1505
06/05/2014,15,Briggate,Tuesday,2014,2,May,19,2616
06/05/2014,15,Briggate at McDonalds ,Tuesday,2014,2,May,19,1517
06/05/2014,15,Commercial Street at Lush,Tuesday,2014,2,May,19,2063
06/05/2014,15,Commercial Street at Barratts,Tuesday,2014,2,May,19,1512
06/05/2014,15,Headrow,Tuesday,2014,2,May,19,1287
06/05/2014,15,Dortmund Square ,Tuesday,2014,2,May,19,3898
06/05/2014,15,Albion Street South,Tuesday,2014,2,May,19,1340
06/05/2014,15,Albion Street North,Tuesday,2014,2,May,19,1112
06/05/2014,16,Briggate,Tuesday,2014,2,May,19,2391
06/05/2014,16,Briggate at McDonalds ,Tuesday,2014,2,May,19,1504
06/05/2014,16,Commercial Street at Lush,Tuesday,2014,2,May,19,1907
06/05/2014,16,Commercial Street at Barratts,Tuesday,2014,2,May,19,1491
06/05/2014,16,Headrow,Tuesday,2014,2,May,19,1260
06/05/2014,16,Dortmund Square ,Tuesday,2014,2,May,19,3232
06/05/2014,16,Albion Street South,Tuesday,2014,2,May,19,1689
06/05/2014,16,Albion Street North,Tuesday,2014,2,May,19,1335
06/05/2014,17,Briggate,Tuesday,2014,2,May,19,2564
06/05/2014,17,Briggate at McDonalds ,Tuesday,2014,2,May,19,1114
06/05/2014,17,Commercial Street at Lush,Tuesday,2014,2,May,19,3121
06/05/2014,17,Commercial Street at Barratts,Tuesday,2014,2,May,19,1496
06/05/2014,17,Headrow,Tuesday,2014,2,May,19,974
06/05/2014,17,Dortmund Square ,Tuesday,2014,2,May,19,2384
06/05/2014,17,Albion Street South,Tuesday,2014,2,May,19,691
06/05/2014,17,Albion Street North,Tuesday,2014,2,May,19,232
06/05/2014,18,Briggate,Tuesday,2014,2,May,19,2755
06/05/2014,18,Briggate at McDonalds ,Tuesday,2014,2,May,19,847
06/05/2014,18,Commercial Street at Lush,Tuesday,2014,2,May,19,1009
06/05/2014,18,Commercial Street at Barratts,Tuesday,2014,2,May,19,1156
06/05/2014,18,Headrow,Tuesday,2014,2,May,19,512
06/05/2014,18,Dortmund Square ,Tuesday,2014,2,May,19,1351
06/05/2014,18,Albion Street South,Tuesday,2014,2,May,19,956
06/05/2014,18,Albion Street North,Tuesday,2014,2,May,19,718
06/05/2014,19,Briggate,Tuesday,2014,2,May,19,3422
06/05/2014,19,Briggate at McDonalds ,Tuesday,2014,2,May,19,507
06/05/2014,19,Commercial Street at Lush,Tuesday,2014,2,May,19,459
06/05/2014,19,Commercial Street at Barratts,Tuesday,2014,2,May,19,340
06/05/2014,19,Headrow,Tuesday,2014,2,May,19,313
06/05/2014,19,Dortmund Square ,Tuesday,2014,2,May,19,747
06/05/2014,19,Albion Street South,Tuesday,2014,2,May,19,688
06/05/2014,19,Albion Street North,Tuesday,2014,2,May,19,424
06/05/2014,20,Briggate,Tuesday,2014,2,May,19,2067
06/05/2014,20,Briggate at McDonalds ,Tuesday,2014,2,May,19,317
06/05/2014,20,Commercial Street at Lush,Tuesday,2014,2,May,19,313
06/05/2014,20,Commercial Street at Barratts,Tuesday,2014,2,May,19,200
06/05/2014,20,Headrow,Tuesday,2014,2,May,19,198
06/05/2014,20,Dortmund Square ,Tuesday,2014,2,May,19,530
06/05/2014,20,Albion Street South,Tuesday,2014,2,May,19,545
06/05/2014,20,Albion Street North,Tuesday,2014,2,May,19,347
06/05/2014,21,Briggate,Tuesday,2014,2,May,19,989
06/05/2014,21,Briggate at McDonalds ,Tuesday,2014,2,May,19,388
06/05/2014,21,Commercial Street at Lush,Tuesday,2014,2,May,19,138
06/05/2014,21,Commercial Street at Barratts,Tuesday,2014,2,May,19,137
06/05/2014,21,Headrow,Tuesday,2014,2,May,19,127
06/05/2014,21,Dortmund Square ,Tuesday,2014,2,May,19,321
06/05/2014,21,Albion Street South,Tuesday,2014,2,May,19,615
06/05/2014,21,Albion Street North,Tuesday,2014,2,May,19,255
06/05/2014,22,Briggate,Tuesday,2014,2,May,19,604
06/05/2014,22,Briggate at McDonalds ,Tuesday,2014,2,May,19,289
06/05/2014,22,Commercial Street at Lush,Tuesday,2014,2,May,19,135
06/05/2014,22,Commercial Street at Barratts,Tuesday,2014,2,May,19,69
06/05/2014,22,Headrow,Tuesday,2014,2,May,19,111
06/05/2014,22,Dortmund Square ,Tuesday,2014,2,May,19,285
